id,journal,year,paper_title,doi,artifact,number,pdf_page,title,type,formal_page,source_pdf,replication_link,supplement_link,code_status,access_method,rights_note,crop_mode,label_detection,perceptual_hash,width_px,height_px,image
APSR-F-011,APSR,2026,Consequences of the Black Sea Slave Trade: Long-Run Development in Eastern Europe,10.1017/s0003055426101439,figure,1,6,"Frequency of Slave Raids in Eastern Europe, 1453–1774",bar-composition,https://doi.org/10.1017/s0003055426101439,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/E6074298B3135E3B858CF9E64BE45F99/S0003055426101439a.pdf/div-class-title-consequences-of-the-black-sea-slave-trade-long-run-development-in-eastern-europe-div.pdf,https://doi.org/10.7910/DVN/XF0NPN,,not-found,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-through-note,uppercase-label,c133336833736c83,1436,1164,figures/APSR/APSR-F-011.png
APSR-F-012,APSR,2026,Consequences of the Black Sea Slave Trade: Long-Run Development in Eastern Europe,10.1017/s0003055426101439,figure,2,7,Geographical Distribution of Slave Raids,map-spatial,https://doi.org/10.1017/s0003055426101439,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/E6074298B3135E3B858CF9E64BE45F99/S0003055426101439a.pdf/div-class-title-consequences-of-the-black-sea-slave-trade-long-run-development-in-eastern-europe-div.pdf,https://doi.org/10.7910/DVN/XF0NPN,,not-found,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-through-note,uppercase-label,110d0f0319111125,1436,954,figures/APSR/APSR-F-012.png
APSR-F-013,APSR,2026,Consequences of the Black Sea Slave Trade: Long-Run Development in Eastern Europe,10.1017/s0003055426101439,figure,4,13,Urban Population Analysis: Evolution of Treatment Effect Over Time,event-study,https://doi.org/10.1017/s0003055426101439,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/E6074298B3135E3B858CF9E64BE45F99/S0003055426101439a.pdf/div-class-title-consequences-of-the-black-sea-slave-trade-long-run-development-in-eastern-europe-div.pdf,https://doi.org/10.7910/DVN/XF0NPN,,not-found,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-through-note,uppercase-label,4933421262961313,1436,850,figures/APSR/APSR-F-013.png
APSR-F-014,APSR,2026,Consequences of the Black Sea Slave Trade: Long-Run Development in Eastern Europe,10.1017/s0003055426101439,figure,5,16,Distribution of Slave Raids in Imperial Russia and Austrian Galicia and Silesia,distribution-density,https://doi.org/10.1017/s0003055426101439,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/E6074298B3135E3B858CF9E64BE45F99/S0003055426101439a.pdf/div-class-title-consequences-of-the-black-sea-slave-trade-long-run-development-in-eastern-europe-div.pdf,https://doi.org/10.7910/DVN/XF0NPN,,not-found,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-through-note,uppercase-label,0517830f090d1d2d,1436,961,figures/APSR/APSR-F-014.png
APSR-F-015,APSR,2026,Political Symbols and Social Order: Confederate Monuments and Performative Violence in the Post-Reconstruction U.S. South,10.1017/s0003055425101007,figure,4,13,The Causal Effect of Confederate Monuments on Performative Violence Outcomes,coefficient-forest,https://doi.org/10.1017/s0003055425101007,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/4FAC95FC7644C8D85997D724A0EAA513/S0003055425101007a.pdf/div-class-title-political-symbols-and-social-order-confederate-monuments-and-performative-violence-in-the-post-reconstruction-u-s-south-div.pdf,,,not-found,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-through-note,uppercase-label,052da4246e850113,1436,1070,figures/APSR/APSR-F-015.png
APSR-F-016,APSR,2026,Political Symbols and Social Order: Confederate Monuments and Performative Violence in the Post-Reconstruction U.S. South,10.1017/s0003055425101007,figure,5,14,The Effect of Confederate Monuments on the Number of Lynching Events in a Period. Event Study of Group-Time Average Treatment Effect,event-study,https://doi.org/10.1017/s0003055425101007,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/4FAC95FC7644C8D85997D724A0EAA513/S0003055425101007a.pdf/div-class-title-political-symbols-and-social-order-confederate-monuments-and-performative-violence-in-the-post-reconstruction-u-s-south-div.pdf,,,not-found,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-through-note,uppercase-label,45055c2414218427,1436,1096,figures/APSR/APSR-F-016.png
APSR-F-017,APSR,2026,State-Building and Rebellion in the Run-Up to the French Revolution,10.1017/s0003055425101342,figure,2,8,The Horse-Post Relay Network,network-flow,https://doi.org/10.1017/s0003055425101342,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/D89FDE5627AAE242DC2CC2D21AA132C6/S0003055425101342a.pdf/div-class-title-state-building-and-rebellion-in-the-run-up-to-the-french-revolution-div.pdf,https://doi.org/10.7910/DVN/M1XRXT,,exact-source,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-through-note,uppercase-label,11333337333337a3,1436,851,figures/APSR/APSR-F-017.png
APSR-F-018,APSR,2026,State-Building and Rebellion in the Run-Up to the French Revolution,10.1017/s0003055425101342,figure,4,10,Annual Number of Rebellions,time-series,https://doi.org/10.1017/s0003055425101342,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/D89FDE5627AAE242DC2CC2D21AA132C6/S0003055425101342a.pdf/div-class-title-state-building-and-rebellion-in-the-run-up-to-the-french-revolution-div.pdf,https://doi.org/10.7910/DVN/M1XRXT,,exact-source,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-through-note,uppercase-label,41559e86baa2a283,1436,677,figures/APSR/APSR-F-018.png
APSR-F-019,APSR,2025,Curation Bubbles,10.1017/s0003055424000984,figure,2,10,Distribution of URL- and Domain-Level Scores Based on Sharing Behavior for Twitter and Facebook,distribution-density,https://doi.org/10.1017/s0003055424000984,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/EBEBDE88633A86DFC821FE86B7708BB3/S0003055424000984a.pdf/div-class-title-curation-bubbles-div.pdf,https://doi.org/10.7910/DVN/1ONKDX,,exact-source,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-through-note,uppercase-label,0533335559999908,1436,864,figures/APSR/APSR-F-019.png
APSR-F-020,APSR,2025,Curation Bubbles,10.1017/s0003055424000984,figure,4,12,URL Scores by Share Volume for Selected Domains on Twitter and Facebook,scatter-binned,https://doi.org/10.1017/s0003055424000984,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/EBEBDE88633A86DFC821FE86B7708BB3/S0003055424000984a.pdf/div-class-title-curation-bubbles-div.pdf,https://doi.org/10.7910/DVN/1ONKDX,,exact-source,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-fixed-figure-window,uppercase-label,232229a923290925,1436,1735,figures/APSR/APSR-F-020.png
APSR-F-021,APSR,2025,Curation Bubbles,10.1017/s0003055424000984,figure,6,14,Hand-Coded Partisan Appeal against Twitter-Based Audience Scores,scatter-binned,https://doi.org/10.1017/s0003055424000984,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/EBEBDE88633A86DFC821FE86B7708BB3/S0003055424000984a.pdf/div-class-title-curation-bubbles-div.pdf,https://doi.org/10.7910/DVN/1ONKDX,,exact-source,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-through-note,uppercase-label,090f83a32d399003,1436,880,figures/APSR/APSR-F-021.png
APSR-F-022,APSR,2025,Navigating Potential Pitfalls in Difference-in-Differences Designs: Reconciling Conflicting Findings on Mass Shootings’ Effect on Electoral Outcomes,10.1017/s0003055424000108,figure,9,15,Illustration of the Goodman–Bacon Decomposition of the TWFE Models,bar-composition,https://doi.org/10.1017/s0003055424000108,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/CE32844907A6CAF6D397E85AE6A33B07/S0003055424000108a.pdf/div-class-title-navigating-potential-pitfalls-in-difference-in-differences-designs-reconciling-conflicting-findings-on-mass-shootings-effect-on-electoral-outcomes-div.pdf,https://doi.org/10.7910/DVN/GH69TI,,not-found,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-through-note,uppercase-label,1133338999999913,1436,1033,figures/APSR/APSR-F-022.png
APSR-F-023,APSR,2025,Partisanship and Political Socialization in Electoral Autocracies,10.1017/s0003055424000261,figure,1,11,Marginal Effect of Network’s Partisanship on Individual Partisanship with Distribution of Independent Variable Along X-Axis,marginal-predicted,https://doi.org/10.1017/s0003055424000261,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/6447701E63C239B8B2AD00F250E280E1/S0003055424000261a.pdf/div-class-title-partisanship-and-political-socialization-in-electoral-autocracies-div.pdf,https://doi.org/10.7910/DVN/WCTOA8,,exact-source,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-through-note,uppercase-label,710f36223a320e03,1436,812,figures/APSR/APSR-F-023.png
APSR-F-024,APSR,2025,Reducing Prejudice toward Refugees: Evidence That Social Networks Influence Attitude Change in Uganda,10.1017/s0003055424000303,figure,8,12,"Village Networks, 1–4 in Order Top Left to Bottom Right",network-flow,https://doi.org/10.1017/s0003055424000303,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/1FFE06D9EF6C259E39DF7E159E56CF48/S0003055424000303a.pdf/div-class-title-reducing-prejudice-toward-refugees-evidence-that-social-networks-influence-attitude-change-in-uganda-div.pdf,https://doi.org/10.7910/DVN/YZGMQJ,,exact-source,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-through-note,uppercase-label,33673333a2333319,1436,1297,figures/APSR/APSR-F-024.png
APSR-F-025,APSR,2025,The Generalizability of IR Experiments beyond the United States,10.1017/s0003055424001199,figure,2,7,Steps in Selecting Countries for Replication,design-theory,https://doi.org/10.1017/s0003055424001199,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/263CE4FF8EA7AAEC76A176BF3E05626C/S0003055424001199a.pdf/div-class-title-the-generalizability-of-ir-experiments-beyond-the-united-states-div.pdf,https://doi.org/10.7910/DVN/9UXYCQ,,exact-source,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-through-note,uppercase-label,23335b7119551151,1436,1070,figures/APSR/APSR-F-025.png
AJPS-F-001,AJPS,2026,The political consequences of Africa's mobile revolution,10.1111/ajps.12991,figure,1,5,Global mobile phone subscriptions per 100 people. Note: Data from the International Telecommunications Union (1995–2021).,time-series,https://doi.org/10.1111/ajps.12991,http://eprints.lse.ac.uk/128066/1/American_J_Political_Sci_-_2025_-_Yeandle_-_The_political_consequences_of_Africa_s_mobile_revolution.pdf,https://doi.org/10.7910/DVN/VPW1CU,,exact-source,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,embedded-image-through-caption,uppercase-label,222d584a4864ca5b,1341,945,figures/AJPS/AJPS-F-001.png
AJPS-F-002,AJPS,2026,The political consequences of Africa's mobile revolution,10.1111/ajps.12991,figure,3,8,Visual summary of the argument and research design.,design-theory,https://doi.org/10.1111/ajps.12991,http://eprints.lse.ac.uk/128066/1/American_J_Political_Sci_-_2025_-_Yeandle_-_The_political_consequences_of_Africa_s_mobile_revolution.pdf,https://doi.org/10.7910/DVN/VPW1CU,,exact-source,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-fixed-figure-window,uppercase-label,3111111111511135,1439,1116,figures/AJPS/AJPS-F-002.png
AJPS-F-003,AJPS,2025,"Bridging the gulf: How migration fosters tolerance, cosmopolitanism, and support for globalization",10.1111/ajps.12893,figure,6,13,", which charts the word clouds of terms used by the treatment and control groups when respond- ing to the question: “Who are the people you interact Effects of selection versus migration",distribution-density,https://doi.org/10.1111/ajps.12893,https://researchonline.lse.ac.uk/id/eprint/124344/1/American_J_Political_Sci_-_2024_-_Gaikwad_-_Bridging_the_gulf_How_migration_fosters_tolerance_cosmopolitanism_and.pdf,https://doi.org/10.7910/DVN/JSQQSR,,exact-source,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,embedded-image-through-caption,uppercase-label,354d313133331333,707,514,figures/AJPS/AJPS-F-003.png
AJPS-F-004,AJPS,2024,"A Costly Commitment: Populism, Economic Performance, and the Quality of Bureaucracy",10.1111/ajps.12782,figure,1,11,Average Outcomes for Municipalities in which a Populist Barely Won and Lost the Election,coefficient-forest,https://doi.org/10.1111/ajps.12782,https://kclpure.kcl.ac.uk/ws/files/297186982/A_Costly_Commitment_Populism_Bellodi_publishedonline02April2023_Gold_VOR_CC_BY_.pdf,https://doi.org/10.7910/DVN/7TEE2R,,exact-source,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-through-note,uppercase-label,21494b4b11236d17,1436,614,figures/AJPS/AJPS-F-004.png
AJPS-F-005,AJPS,2024,"A Costly Commitment: Populism, Economic Performance, and the Quality of Bureaucracy",10.1111/ajps.12782,figure,2,13,Estimated Effect of Electing a Populist Mayor on Managers’ Departure Challenger Status and (Right-Wing) Categories Populism We present two robustness tests to further strengthen,coefficient-forest,https://doi.org/10.1111/ajps.12782,https://kclpure.kcl.ac.uk/ws/files/297186982/A_Costly_Commitment_Populism_Bellodi_publishedonline02April2023_Gold_VOR_CC_BY_.pdf,https://doi.org/10.7910/DVN/7TEE2R,,exact-source,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-through-note,uppercase-label,31333b5959773153,1436,577,figures/AJPS/AJPS-F-005.png
AJPS-F-006,AJPS,2024,"A Costly Commitment: Populism, Economic Performance, and the Quality of Bureaucracy",10.1111/ajps.12782,figure,4,15,Estimated Results’ Sensitivity to Sequentially Removing Right-Wing Populist Parties,coefficient-forest,https://doi.org/10.1111/ajps.12782,https://kclpure.kcl.ac.uk/ws/files/297186982/A_Costly_Commitment_Populism_Bellodi_publishedonline02April2023_Gold_VOR_CC_BY_.pdf,https://doi.org/10.7910/DVN/7TEE2R,,exact-source,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-through-note,uppercase-label,41076d414149632b,1436,736,figures/AJPS/AJPS-F-006.png
AJPS-F-007,AJPS,2024,At Any Cost: How Ukrainians Think about Self‐Defense Against Russia,10.1111/ajps.12832,figure,1,9,Survey Sample (a) and Conflict Events (b) in Ukraine,map-spatial,https://doi.org/10.1111/ajps.12832,http://eprints.lse.ac.uk/120873/1/Muller_Crepon_at_any_cost_published.pdf,https://doi.org/10.7910/DVN/B6ZNAI,,exact-source,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-through-note,uppercase-label,071f1b0f0c1b0f0f,1436,1522,figures/AJPS/AJPS-F-007.png
AJPS-F-008,AJPS,2024,At Any Cost: How Ukrainians Think about Self‐Defense Against Russia,10.1111/ajps.12832,figure,2,10,Support for Self-Defense Strategies: AMCEs,coefficient-forest,https://doi.org/10.1111/ajps.12832,http://eprints.lse.ac.uk/120873/1/Muller_Crepon_at_any_cost_published.pdf,https://doi.org/10.7910/DVN/B6ZNAI,,exact-source,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-through-note,uppercase-label,0f1b43424243630f,1436,1076,figures/AJPS/AJPS-F-008.png
AJPS-F-009,AJPS,2024,At Any Cost: How Ukrainians Think about Self‐Defense Against Russia,10.1111/ajps.12832,figure,3,11,Support for Self-Defense Strategies: Marginal Means,marginal-predicted,https://doi.org/10.1111/ajps.12832,http://eprints.lse.ac.uk/120873/1/Muller_Crepon_at_any_cost_published.pdf,https://doi.org/10.7910/DVN/B6ZNAI,,exact-source,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-through-note,uppercase-label,1b5363626662630f,1436,1026,figures/AJPS/AJPS-F-009.png
AJPS-F-010,AJPS,2024,At Any Cost: How Ukrainians Think about Self‐Defense Against Russia,10.1111/ajps.12832,figure,7,16,Nested Marginal Means of Ranked Strategy Features in Categorical Decision-Making,marginal-predicted,https://doi.org/10.1111/ajps.12832,http://eprints.lse.ac.uk/120873/1/Muller_Crepon_at_any_cost_published.pdf,https://doi.org/10.7910/DVN/B6ZNAI,,exact-source,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-through-note,uppercase-label,0b4b232121631707,1436,1229,figures/AJPS/AJPS-F-010.png
AJPS-F-011,AJPS,2024,Friendly Lobbying under Time Pressure,10.1111/ajps.12754,figure,1,7,Optimal Policies Given Signal s and Precision t,design-theory,https://doi.org/10.1111/ajps.12754,https://openaccess.city.ac.uk/id/eprint/29088/8/American%20J%20Political%20Sci%20-%202022%20-%20Awad%20-%20Friendly%20Lobbying%20under%20Time%20Pressure.pdf,,,not-found,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-through-note,uppercase-label,030333333737330b,1436,670,figures/AJPS/AJPS-F-011.png
AJPS-F-012,AJPS,2024,Friendly Lobbying under Time Pressure,10.1111/ajps.12754,figure,4,10,Equilibrium Duration Given Waiting Proposition 1 below summarizes the lobbyist’s op- Costs timal choice. Figure 3 depicts the equilibrium lobbying strategy as a function of the cost of waiting and the me-,design-theory,https://doi.org/10.1111/ajps.12754,https://openaccess.city.ac.uk/id/eprint/29088/8/American%20J%20Political%20Sci%20-%202022%20-%20Awad%20-%20Friendly%20Lobbying%20under%20Time%20Pressure.pdf,,,not-found,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-through-note,uppercase-label,1953430161410513,1436,670,figures/AJPS/AJPS-F-012.png
AJPS-F-013,AJPS,2024,Friendly Lobbying under Time Pressure,10.1111/ajps.12754,figure,6,13,Policy Quality Given Waiting Costs,coefficient-forest,https://doi.org/10.1111/ajps.12754,https://openaccess.city.ac.uk/id/eprint/29088/8/American%20J%20Political%20Sci%20-%202022%20-%20Awad%20-%20Friendly%20Lobbying%20under%20Time%20Pressure.pdf,,,not-found,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-through-note,uppercase-label,070747094d2d0903,1436,572,figures/AJPS/AJPS-F-013.png
AJPS-F-014,AJPS,2026,Correcting misperceptions about ethno‐racial discrimination: The limits of evidence‐based awareness raising to promote support for equal‐treatment policies,10.1111/ajps.12933,figure,2,10,Framing. Note: Schematic representation of split screen framing.,design-theory,https://doi.org/10.1111/ajps.12933,https://curis.ku.dk/ws/files/419159574/American_J_Political_Sci_2024_Schaeffer_Correcting_misperceptions_about_ethno_racial_discrimination_The_limits_of.pdf,https://doi.org/10.7910/DVN/HRUXYI,,exact-source,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,embedded-image-through-caption,uppercase-label,006231d131303130,1024,618,figures/AJPS/AJPS-F-014.png
AJPS-F-015,AJPS,2025,"Communication, coordination, and surveillance in the shadow of repression",10.1111/ajps.12904,figure,1,6,Illustration of communication cases. CORNER CASES some actors sometimes but not always observe the No communication message.,network-flow,https://doi.org/10.1111/ajps.12904,https://escholarship.org/content/qt2sh0q7nn/qt2sh0q7nn.pdf,,,not-found,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-fixed-figure-window,uppercase-label,1511555559391519,1439,1115,figures/AJPS/AJPS-F-015.png
